OBJECTID *,OBJECTID,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,Y,X,IAphysregionsv4,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,IA_DHPFP,Cedar,Nish,DesMoines,Iowa2,Missouri2
83,14894,NCSS,S1962IA185003,10/16/1962,-93.384445,40.702499,28.1,68.2,3.7,Point,4505804,467521.2,12,2.561563,3.700012,0.000737,9.155017,2,-183294.8,180293.2,-77525.8,-152439.4,200222.4
84,295,NASIS,83IA185001,30590,-93.377502,40.730835,30,52,18,Point,4508948,468121.2,12,2.135307,-5.210022,-0.000323,8.839218,4,-181604,179990.7,-74582.1,-149284.7,200959
85,296,NASIS,83IA185002,30590,-93.378334,40.73111,30,45,25,Point,4508978,468052.2,12,2.285691,-5.840027,-0.000376,6.321498,4,-181697.8,179894.3,-74641.55,-149327.2,200859.2
86,13535,NCSS,S1962IA185004,10/17/1962,-93.145554,40.716667,27.6,68.5,3.9,Point,4507316,487705.2,12,2.928536,-0.98999,-0.000184,8.193487,3,-164014.9,199368.4,-63499.61,-143705.6,220463.9
87,13548,NCSS,S1962IA185005,10/17/1962,-93.146111,40.716946,33,63.4,3.6,Point,4507346,487660.2,12,3.311147,2.309998,0.000241,7.569427,3,-164067.6,199246.7,-63498.82,-143640.8,220367.9
88,13550,NCSS,S1962IA185006,10/18/1962,-93.146111,40.716389,22.5,73.5,4,Point,4507286,487660.2,12,1.52787,3.47998,0.001051,7.127455,2,-164106.9,199271.6,-63569.88,-143736,220364
89,14094,NCSS,87IA051002,6/1/1988,-92.508333,40.725,30.3,66.4,3.3,Point,4508348,541522.3,12,9.854413,-5.409973,-0.001741,5.942283,3,-115881.7,251607.4,-28937.52,-114460.9,274268.1
90,14115,NCSS,87IA051001,6/1/1988,-92.508333,40.725,39.6,58,2.4,Point,4508348,541522.3,12,9.854413,-5.409973,-0.001741,5.942283,3,-115881.7,251607.4,-28937.52,-114460.9,274268.1
91,1063,NASIS,92IA177070,33848,-92.144997,40.696388,18,70,12,Point,4505405,572236.3,12,0.805187,-0.459991,-0.000328,7.785872,6,-93562.01,279953.2,-13319.53,-93344.95,304871.4
92,1363,NASIS,88IA177015,32483,-92.089722,40.711388,25,72,3,Point,4507118,576889.3,12,1.219869,2.059998,0.000368,12.23719,1,-89027.02,283329.7,-8386.299,-88872.16,309611.3
93,1366,NASIS,88IA177008,32478,-92.106941,40.708889,35,53,12,Point,4506827,575437.3,12,3.664384,0.970001,-0.000731,7.361529,3,-90227.27,282088.9,-9899.495,-90044.93,308106.5
94,4588,NASIS,1993IA177001,34121,-92.106941,40.708889,38,58.400002,3.6,Point,4506827,575437.3,12,3.664384,0.970001,-0.000731,7.361529,3,-90227.27,282088.9,-9899.495,-90044.93,308106.5
