OBJECTID *,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,VDCN_10m,IA_DHPFP,Cedar,Nish,Iowa,DesMoines,Missouri,IAphysregionsv4,X_100,Y_100
1616,NCSS,S1956IA089009,10/16/1956,-92.349724,43.349167,24.3,40.3,35.4,Point,0.171492,4.330017,0.000654,8.209995,21.42245,1,38556.45,280029.1,115742.7,168242.5,332883.4,6,552715.5,4799774
1617,NCSS,S1956IA089012,10/17/1956,-92.381386,43.345833,13.8,55.4,30.8,Point,1.267386,1.790039,0.000381,7.706841,9.128448,1,36045.53,277684.7,113247.9,165711.6,330264.4,6,550115.5,4799374
1618,NCSS,S1956IA089008,10/15/1956,-92.37722,43.344723,25.4,49.2,25.4,Point,1.512911,-0.889954,-0.000117,7.629414,10.32867,4,36358.91,277950.5,113557.1,166034.3,330657.9,6,550515.5,4799274
1619,NCSS,S1956IA089010,10/16/1956,-92.353332,43.349445,29.6,46.5,23.9,Point,0.541994,-1.02002,-0.000246,9.177208,15.44409,5,38329.36,279843.5,115521.1,168012.6,332589.9,6,552415.5,4799874
1620,NCSS,S1956IA089007,10/15/1956,-92.376946,43.343334,19.7,50.7,29.6,Point,0.74232,2.679993,0.000389,10.03355,12.31461,1,36314.73,277892.1,113511.3,165993,330652.1,6,550515.5,4799174
1621,NASIS,M62IA089_211,40276,-92.332191,43.348885,28.9,58.599998,12.5,Point,1.228504,-0.619934,-0.000052,7.699028,25.74411,5,39824.62,281168.7,116991.5,169497.6,334281,6,554115.5,4799774
1622,NASIS,S1962IA089211,40276,-92.332191,43.348885,28.9,58.599998,12.5,Point,1.228504,-0.619934,-0.000052,7.699028,25.74411,5,39824.62,281168.7,116991.5,169497.6,334281,6,554115.5,4799774
1623,NASIS,M65_IA089_008,40284,-92.255379,43.349644,21.799999,45.700001,32.5,Point,1.713654,1.649963,0.000238,8.312604,21.9892,2,44790.29,286300,120665.5,175125.4,340476.2,6,560315.5,4799874
1624,NASIS,S1965IA089008,40284,-92.255379,43.349644,21.799999,45.700001,32.5,Point,1.713654,1.649963,0.000238,8.312604,21.9892,2,44790.29,286300,120665.5,175125.4,340476.2,6,560315.5,4799874
1625,NCSS,S1965IA089909,12/9/2014,-92.21778,43.33094,8.1,10.4,81.5,Point,1.036686,0.450073,-0.000222,10.32547,2.517609,6,46271.59,287728.6,120906,177099.9,343461.6,6,563415.5,4797874
1626,NCSS,S1965IA089916,12/9/2014,-92.20419,43.29525,10.5,21.9,67.6,Point,0.362972,0.130005,0.000006,8.759425,15.98151,1,45303.09,286427.4,118444.8,176503.4,344376.6,6,564515.5,4793874
1627,NCSS,S1965IA089900,10/19/1965,-92.20298,43.2984,10.5,21.9,67.6,Point,2.251363,0.959961,-0.000027,10.09788,19.72989,4,45571.26,286730.6,118818.6,176751.9,344492.8,6,564615.5,4794274
1628,NCSS,S1965IA089927,12/10/2014,-92.13712,43.31667,16.3,38.1,45.6,Point,2.816123,0.540039,0.000043,7.768749,32.40775,2,51257.78,292399,123880,182543,349979.8,6,570015.5,4796374
1629,NCSS,1964IA089014,1/6/2009,-92.114454,43.342723,13.2,54.6,32.2,Point,0.540988,11.94995,0.001055,6.056827,24.0466,1,54264.72,295493.6,127257.1,185344.4,351924.1,6,571815.5,4799274
